Train,To and from work,0.03,0.03,0.01,0.01,1.33,1.35,0.5,0.36,2.18,2.19,0.85,0.63,.,.,.,.,.,.,.,.,.,.,.,.,0.05,0.06,0.02,0.02,1.93,2.26,0.75,0.66,3.29,3.7,1.38,1.15,0.04,0.04,0.01,0.01,1.46,1.34,0.43,0.37,2.55,2.35,0.79,0.71
Train,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train,Going out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train,Touring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus/tram/metro,Total,0.08,0.07,0.04,0.04,1.08,1.06,0.48,0.54,3.24,3.22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus/tram/metro,To and from work,0.02,0.02,0.01,0.01,0.32,0.31,0.14,0.13,0.9,0.88,0.44,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.04,0.02,0.01,0.5,0.59,0.23,0.19,1.43,1.75,0.73,0.64
Bus/tram/metro,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus/tram/metro,Going out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus/tram/metro,Touring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicycle,Total,0.79,0.76,0.63,0.64,3.16,3.01,2.61,2.68,16.46,16.26,14.74,15.18,0.79,0.76,0.67,0.67,3.23,2.85,2.55,2.94,16.75,16.4,13.69,15.91,0.94,0.91,0.73,0.74,3.72,3.4,2.83,3.02,18.49,17.86,16.12,16.52,0.72,0.69,0.58,0.59,2.82,2.75,2.46,2.46,14.99,15.16,14.44,14.78
Bicycle,To and from work,0.14,0.13,0.1,0.1,0.68,0.65,0.44,0.45,2.72,2.59,1.85,1.94,0.14,0.12,0.11,0.12,0.57,0.44,0.4,0.48,2.4,1.86,1.67,2.51,0.17,0.15,0.1,0.1,0.91,0.81,0.48,0.51,3.56,2.9,1.94,2.01,0.14,0.12,0.09,0.09,0.67,0.65,0.43,0.43,2.68,2.61,1,
Bicycle,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicycle,Going out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicycle,Touring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To walk,Total,0.44,0.43,0.52,0.61,0.9,0.88,1.12,1.38,11.23,10.92,15.06,18.82,0.36,0.35,0.46,0.48,0.77,0.75,1.12,1.19,10.15,9.52,13.97,15.87,0.46,0.42,0.57,0.65,0.88,0.8,1.13,1.41,10.76,9.4,15.27,19.05,0.5,0.47,0.56,0.66,1,0.96,1.13,1.41,12.32,11.67,15.77,19.62
To walk,To and from work,0.02,0.02,0.02,0.02,0.06,0.06,0.03,0.03,0.29,0.29,0.21,0.22,.,.,.,.,.,.,.,.,.,.,.,.,0.02,.,0.01,0.01,0.06,.,0.03,0.03,0.25,.,0.13,0.17,0.03,0.02,0.02,0.02,0.08,0.08,0.04,0.04,0.39,.,0.22,0.27
To walk,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To walk,Going out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To walk,Touring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other mode of transport,Total,0.11,0.11,0.09,0.1,2.32,2.3,1.55,1.81,3.76,3.7,2.84,3.55,0.12,0.13,0.13,0.11,3.95,3.11,2.5,2.15,5.46,5.1,5.07,3.95,0.1,0.09,0.08,0.09,1.89,1.75,1.62,1.29,3.15,2.64,2.81,2.73,0.1,0.11,0.08,0.11,1,,,,,,,
Other mode of transport,To and from work,0.04,0.04,0.03,0.03,0.97,0.78,0.47,0.6,1.29,1.09,0.67,0.8,.,.,.,.,.,.,.,.,.,.,.,.,0.04,.,0.02,0.02,0.88,.,0.48,0.51,1.18,.,0.63,0.66,0.04,0.03,0.03,0.03,0.9,0.78,0.39,0.49,1.3,1.29,0.72,0.8
Other mode of transport,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other mode of transport,Going out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other mode of transport,Touring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bron: CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
